Student ID,English,Mathematics,Science,Social Studies,Logical Reasoning,Computer Awareness,Branch,Course
Student_1_1,85,88,86,69,75,94,Diploma,Diploma in Computer Science and Information Technology
Student_1_2,84,93,90,47,80,89,Diploma,Diploma in Mechanical and Electrical
Student_1_3,75,80,81,54,80,91,Diploma,Diploma in Electronics and Communication
Student_1_4,82,89,85,95,83,87,Diploma,Diploma in Construction and Design
Student_1_5,84,75,74,84,78,83,Diploma,Diploma in Hospitality and Event Management
Student_1_6,78,79,92,65,77,76,Diploma,Diploma in Life Sciences and Environment
Student_1_7,90,82,79,55,81,85,Diploma,"Diploma in Finance, Business and Marketing"
Student_1_8,91,42,50,84,80,84,Diploma,Diploma in Arts and Media
Student_1_9,92,61,88,55,81,88,Diploma,Diploma in Physical Education and Wellness
Student_2_1,79,82,87,56,75,92,Diploma,Diploma in Computer Science and Information Technology
Student_2_2,84,87,89,66,85,79,Diploma,Diploma in Mechanical and Electrical
Student_2_3,86,82,93,83,89,82,Diploma,Diploma in Electronics and Communication
Student_2_4,85,84,88,91,85,81,Diploma,Diploma in Construction and Design
Student_2_5,81,58,61,92,83,85,Diploma,Diploma in Hospitality and Event Management
Student_2_6,85,83,81,69,60,67,Diploma,Diploma in Life Sciences and Environment
Student_2_7,91,86,64,73,95,80,Diploma,"Diploma in Finance, Business and Marketing"
Student_2_8,82,51,80,90,87,86,Diploma,Diploma in Arts and Media
Student_2_9,91,41,93,45,87,77,Diploma,Diploma in Physical Education and Wellness
Student_3_1,85,86,84,44,82,91,Diploma,Diploma in Computer Science and Information Technology
Student_3_2,87,87,91,48,86,75,Diploma,Diploma in Mechanical and Electrical
Student_3_3,88,78,82,42,87,86,Diploma,Diploma in Electronics and Communication
Student_3_4,83,84,84,87,91,75,Diploma,Diploma in Construction and Design
Student_3_5,89,45,40,94,76,76,Diploma,Diploma in Hospitality and Event Management
Student_3_6,89,77,90,59,58,45,Diploma,Diploma in Life Sciences and Environment
Student_3_7,90,83,77,56,95,86,Diploma,"Diploma in Finance, Business and Marketing"
Student_3_8,95,56,65,92,80,87,Diploma,Diploma in Arts and Media
Student_3_9,93,72,85,52,76,79,Diploma,Diploma in Physical Education and Wellness
Student_4_1,89,87,87,57,78,95,Diploma,Diploma in Computer Science and Information Technology
Student_4_2,88,81,82,44,87,90,Diploma,Diploma in Mechanical and Electrical
Student_4_3,79,85,84,61,88,87,Diploma,Diploma in Electronics and Communication
Student_4_4,82,89,76,82,89,87,Diploma,Diploma in Construction and Design
Student_4_5,89,58,54,81,84,81,Diploma,Diploma in Hospitality and Event Management
Student_4_6,86,85,89,61,78,47,Diploma,Diploma in Life Sciences and Environment
Student_4_7,83,92,67,67,88,76,Diploma,"Diploma in Finance, Business and Marketing"
Student_4_8,91,47,51,86,75,77,Diploma,Diploma in Arts and Media
Student_4_9,91,51,83,63,80,88,Diploma,Diploma in Physical Education and Wellness
