Student ID,English,Mathematics,Science,Social Studies,Logical Reasoning,Computer Awareness,Branch,Course
Student_1_1,61,65,72,74,66,73,ITI,Computer Science and Information Technology (ITI)
Student_1_2,64,73,68,40,69,68,ITI,Mechanical and Electrical (ITI)
Student_1_3,72,66,67,67,59,61,ITI,Electronics and Communication (ITI)
Student_1_4,60,65,69,42,67,62,ITI,Construction and Design (ITI)
Student_1_5,71,64,68,69,68,63,ITI,Physical Education and Wellness (ITI)
Student_2_1,61,67,62,68,70,68,ITI,Computer Science and Information Technology (ITI)
Student_2_2,72,65,74,55,72,74,ITI,Mechanical and Electrical (ITI)
Student_2_3,70,69,66,41,62,68,ITI,Electronics and Communication (ITI)
Student_2_4,70,71,71,63,71,58,ITI,Construction and Design (ITI)
Student_2_5,71,64,68,71,61,56,ITI,Physical Education and Wellness (ITI)
Student_3_1,66,73,68,47,71,73,ITI,Computer Science and Information Technology (ITI)
Student_3_2,73,66,67,64,61,70,ITI,Mechanical and Electrical (ITI)
Student_3_3,63,74,68,45,59,67,ITI,Electronics and Communication (ITI)
Student_3_4,64,72,67,50,69,58,ITI,Construction and Design (ITI)
Student_3_5,69,66,74,47,69,61,ITI,Physical Education and Wellness (ITI)
Student_4_1,72,72,65,46,65,66,ITI,Computer Science and Information Technology (ITI)
Student_4_2,71,70,68,61,71,67,ITI,Mechanical and Electrical (ITI)
Student_4_3,67,72,66,40,64,64,ITI,Electronics and Communication (ITI)
Student_4_4,63,65,67,42,61,56,ITI,Construction and Design (ITI)
Student_4_5,66,74,74,73,60,61,ITI,Physical Education and Wellness (ITI)
Student_5_1,70,68,68,63,66,74,ITI,Computer Science and Information Technology (ITI)
Student_5_2,63,74,65,72,71,72,ITI,Mechanical and Electrical (ITI)
Student_5_3,73,73,66,68,58,71,ITI,Electronics and Communication (ITI)
Student_5_4,74,65,67,64,61,61,ITI,Construction and Design (ITI)
Student_5_5,73,61,67,44,62,63,ITI,Physical Education and Wellness (ITI)
Student_6_1,68,73,70,71,67,72,ITI,Computer Science and Information Technology (ITI)
Student_6_2,61,71,74,50,61,62,ITI,Mechanical and Electrical (ITI)
