1,4,7,32,32,30,56
1,28,14,33,8,26,66
1,29,7,27,71,21,13
1,10,22,31,20,57,34
1,7,29,32,73,17,30
1,11,35,24,73,17,11
2,13,14,6,35,1,73
2,9,22,10,73,36,27
2,31,33,74,9,21,18
2,30,0,20,10,22,70
2,26,12,37,56,4,25
2,54,9,0,9,26,19
3,22,14,73,29,8,34
3,31,21,32,14,4,79
3,0,52,12,19,11,39
3,39,53,36,9,14,14
3,31,20,6,5,72,39
3,0,29,6,34,50,1
4,12,15,55,18,17,39
4,65,27,6,26,21,3
4,12,8,66,12,0,21
4,9,6,26,65,21,27
4,16,37,13,58,33,5
4,11,24,67,7,17,11
5,36,23,29,25,15,55
5,7,17,14,20,32,54
5,3,14,31,4,21,64
5,37,21,76,12,12,22
5,8,34,80,30,24,11
5,17,30,24,27,70,20
6,35,19,58,27,12,17
6,36,31,62,33,39,10
6,13,54,26,29,6,33
6,15,26,22,22,63,34
6,6,12,12,78,12,3
6,1,24,29,4,32,60
7,56,38,1,20,1,25
7,8,73,16,3,31,36
7,19,50,11,18,18,16
7,15,13,11,19,78,24
7,36,31,74,32,3,15
7,20,22,31,18,31,65
8,71,16,32,0,31,31
8,33,4,39,75,9,22
8,36,32,14,12,3,53
8,31,26,65,10,4,35
8,4,22,15,71,5,27
8,35,2,26,55,23,3
9,18,70,1,3,27,14
9,54,10,19,23,23,38
9,6,2,15,9,50,6
9,33,16,63,13,20,18
9,21,24,38,62,7,37
9,7,12,0,9,72,24
10,33,12,57,5,9,33
10,15,22,34,23,39,67
10,37,21,77,32,29,11
10,25,33,19,77,4,23
10,36,3,21,70,24,35
10,38,27,35,62,34,3
11,75,31,0,11,37,17
11,7,22,34,75,12,9
11,28,76,18,6,20,18
11,15,79,19,22,12,23
11,72,34,4,16,35,26
11,60,20,26,30,30,19
12,17,1,8,53,29,33
12,36,18,50,5,23,9
12,64,32,22,14,17,32
12,38,60,27,11,28,28
12,51,6,30,36,1,21
12,77,13,33,4,29,34
13,65,1,25,25,13,4
13,75,38,27,38,35,35
13,10,20,7,72,13,0
13,23,18,5,25,13,60
13,13,64,30,22,39,0
13,16,5,74,22,7,4
14,34,13,34,19,50,28
14,73,19,19,3,12,3
14,23,14,6,60,18,4
14,70,3,2,17,14,31
14,37,55,14,38,13,17
14,17,32,26,37,34,68
15,23,1,50,14,19,6
15,11,33,5,2,35,63
15,21,61,2,1,28,12
15,72,6,1,13,36,16
15,32,6,5,70,23,13
15,8,18,74,13,26,6
16,3,2,72,7,5,8
16,60,11,23,10,37,8
16,21,2,28,10,39,62
16,32,21,17,5,31,55
16,28,74,16,23,15,38
16,22,28,4,19,63,26
17,14,34,19,21,50,10
17,35,20,78,19,35,10
17,39,2,17,37,68,35
17,9,30,39,35,69,31
17,66,14,8,32,15,22
17,22,34,3,61,39,32
18,29,33,13,14,71,26
18,24,28,21,57,2,32
18,1,8,70,19,2,35
18,50,28,21,25,11,11
18,35,23,38,9,22,66
18,33,38,60,19,24,7
19,8,22,7,28,11,80
19,14,80,3,28,9,1
19,30,78,30,5,25,13
19,58,36,27,17,9,11
19,14,57,2,28,34,38
19,26,58,18,20,7,25
20,36,19,16,50,27,16
20,22,12,31,24,69,2
20,15,69,1,32,6,15
20,13,21,22,37,63,31
20,24,11,50,35,33,10
20,23,27,16,34,34,66
21,64,23,25,5,35,16
21,19,37,32,68,39,30
21,39,9,57,39,34,26
21,20,51,37,34,1,7
21,23,36,11,65,39,19
21,13,12,32,62,28,28
22,36,59,4,28,33,22
22,37,4,79,7,26,21
22,20,59,15,32,32,33
22,0,32,37,31,20,68
22,27,34,32,63,4,10
22,39,14,4,39,17,78
23,23,31,39,21,2,59
23,4,29,22,35,14,77
23,25,36,28,14,39,66
23,26,28,14,23,51,23
23,15,38,13,39,6,63
23,16,28,31,34,38,59
24,73,20,35,10,4,12
24,10,9,3,36,51,12
24,62,34,27,34,36,15
24,14,24,23,35,75,12
24,24,30,1,62,18,14
24,27,0,25,18,51,23
25,31,74,32,5,11,17
25,79,13,0,13,16,29
25,0,12,21,13,10,68
